ID                         STATUS       ASSIGNEE                                        TITLE
EnterpriseBench-f9vs       open         —                                               Rollup(enterprisebench): 3 Stephanie scoring-integrity rulings resolved — 7jpm dispatched, dec-xpq/dec-f5g gated on e1eq/pakh
EnterpriseBench-fgk        open         —                                               Rollup(enterprisebench): Audit convoy fully landed branch-ready — verifier soundness gate GREEN 0/180 false-positives; CI design ratified; --strict warnings triage dispatched
EnterpriseBench-fsup       open         —                                               Rollup(enterprisebench): e1eq landed green — dec-xpq re-score gate cleared, pt0n re-runs unblockable
EnterpriseBench-fvpr       open         —                                               Rollup(enterprisebench): 2026-06-29 DEEP_AUDIT batch all branch-ready; MCP-lift neg-control breach (exploratory)
EnterpriseBench-g2g        open         —                                               Rollup(enterprisebench): suite LOCKED at N=105 parity per Stephanie — campaign epic closed, official headline recorded
EnterpriseBench-gefu       open         —                                               Rollup(enterprisebench): 4 ready beads dispatched (incl P1 scoring-integrity), +2 capacity requested
EnterpriseBench-gt9d       open         —                                               Rollup(enterprisebench): turning point — the anti-MCP signal was a perm-bug ARTIFACT; on clean runs MCP is at near-parity with baseline
EnterpriseBench-h4l        open         —                                               Rollup(enterprisebench): mirror batch resized 91->88 on corrected evidence and wave-1 (12 tasks) dispatched; tev still undelivered ~12h — chase threshold next tick
EnterpriseBench-hpyx       open         —                                               Reconciler re-offers routed bead when worker container launches before bd --claim commits (+ mid-run claim auto-reset); wave-1 worked around via solo-claim
EnterpriseBench-iajt       open         —                                               Rollup(enterprisebench): p6ux claim-auto-reset bug hit 3 live beads (caught, no duplicate, mayor-flagged); MCP signal 6-flat/1
EnterpriseBench-iqt5       open         —                                               Rollup(enterprisebench): 046/zco convoy unclaimed ~11h, fresh pool spinning up — watch next tick
EnterpriseBench-jgi2       open         —                                               Rollup(enterprisebench): rig draining; pool-ops backlog (dead worker-1, orphaned k9po, dup s4a2 convoys) routed to mayor
EnterpriseBench-k5l6       open         —                                               Rollup(enterprisebench): c7wb+966x soundness convoy LANDED on origin/main — 01ip stall resolved, MCP pre-flight gate live, no headline move
EnterpriseBench-kioh       open         —                                               Rollup(enterprisebench): verifier-soundness line (zafm+u3jb+cdzi) branch-ready, held for kxt-gated publish
EnterpriseBench-kp0        open         —                                               Rollup(enterprisebench): mirror batch CLOSED at 88/88 — dual-wave mirror gate satisfied; campaign now gated only on tev + 1gvr decisions and hpyx
EnterpriseBench-ktr        open         —                                               Rollup(enterprisebench): claim-reset now 3/3 on today's convoys (re-locked again); tev undelivered ~12.5h with mayor active-but-silent — chased 3rd time
EnterpriseBench-kzln       open         —                                               Rollup(enterprisebench): tick heartbeat — rig healthy, 2 decisions parked with Stephanie, pool draining
EnterpriseBench-lw83       open         —                                               Rollup(enterprisebench): the 'flat MCP signal' was substantially a CONTAINER PERM BUG artifact — harness fix dispatched, refile + clean package next
EnterpriseBench-lyse       open         —                                               Re-run refactor-orch-006/mcp_only topo_order (docker-cp silent zero, outside 105 campaign)
EnterpriseBench-mchf       open         —                                               Rollup(enterprisebench): DEEP_AUDIT 2026-06-22 — verifier soundness HIGH x2 filed P1 (hmcp), discrimination-gate surfaced; dispatch+channel infra down (mayor mailed)
EnterpriseBench-mi5v       open         —                                               Control-dispatcher lane wedged: 23 mol-focus-review workflows stuck on empty workflow-finalize step
EnterpriseBench-mlz2       open         —                                               Rollup(enterprisebench): p6ux wave-1 LAUNCHED — mayor cleared, batch-1 of 4 dispatched, pool scaled 0->4 on demand
EnterpriseBench-ndd7       open         —                                               Rollup(enterprisebench): SG-token escalate RESOLVED — Stephanie DEFERRED the token (mcp_only parked); c7wb gate + cdzi branch-ready; validity audit 966x in flight
EnterpriseBench-nop        open         —                                               Rollup(enterprisebench): dse CLOSED — CSB MCP lift replicates at n=3 and is tooling-attributable (+0.144 fixed-model); decision live in cbk
EnterpriseBench-nte        open         —                                               Rollup(enterprisebench): verifier sweep landed branch-ready — 267 python3 checks across 6 suites were false-failing in containers; probable root cause of the 37-masked-checkpoint gap; tev updated pre-delivery
EnterpriseBench-oan        open         —                                               Rollup(enterprisebench): wave-2 complete (47/88 mirrors) + fanout hold lifted + wave-3 dispatched; tev delivery defect formally reported to mayor at 15.4h
EnterpriseBench-oput       open         —                                               Rollup(enterprisebench): tick re-verify — rig healthy-idle, F2 1is sole gated blocker under live 1gvr
EnterpriseBench-oslz       open         —                                               Rollup(enterprisebench): MCP-lift secondary-finding ask CLOSED — Stephanie ruled not enough data, disregard; dse stays internal-only
EnterpriseBench-oswm       open         —                                               Rollup(enterprisebench): grounded-citation gate decision resolved (dec-f5g/5a) — pakh wiring bead dispatched
EnterpriseBench-p7r9       open         —                                               Rollup(enterprisebench): CORRECTION — e1eq topo_order parser fix INCOMPLETE (no-op loop like pakh), bvjx precursor still open
EnterpriseBench-pakh       open         —                                               Wire grounded-citation gate into prod scoring
EnterpriseBench-pt0n       open         —                                               Re-run 5 refactor-orch topo_order runs contaminated by docker-cp silent zero
EnterpriseBench-ptn        open         —                                               Rollup(enterprisebench): decision-B remediation decomposed (10 WUs) + P0 pair dispatched and claimed; pool needed wake-nudge again
EnterpriseBench-pyb        open         —                                               Rollup(enterprisebench): claim-reset bug (hpyx) recurred on this morning's 2 readiness convoys — caught + re-locked, no duplicate spend; tev delivery still pending
EnterpriseBench-rh6h       open         —                                               Rollup(enterprisebench): UNIT A (aq8e+uu17) LANDED on main @257e2d7 — headline parity holds; beads settled; UNIT B held for review+Stephanie
EnterpriseBench-rh8q       open         —                                               Rollup(enterprisebench): convoy stalled ~11.5h, worker pool crash-looping — mayor re-notified
EnterpriseBench-rn47       open         —                                               Rollup(enterprisebench): corpus sweep — 105 missing mirrors/66 tasks (not cheap flips); flat-MCP-signal may be partly checkpoint-masking
EnterpriseBench-rq8s       open         —                                               Rollup(enterprisebench): k4tv headline re-run UNBLOCKED + dispatched — gate-1 cleared (verifier fix on main @94e0e0d), gate-2 dispatch bug worked around (9awn in flight)
EnterpriseBench-s08a       open         —                                               Rollup(enterprisebench): publish authorization RESOLVED — c7wb+966x pre-authorized (not Stephanie-gated), ready for mayor push; cdzi rebase dispatched
EnterpriseBench-s63        open         —                                               Rollup(enterprisebench): F2-leakage + dead-pool thread fully resolved — all sources closed, rig idle, cbk sole live decision
EnterpriseBench-s6j        open         —                                               recovery sanity EnterpriseBench
EnterpriseBench-tbbr       open         —                                               Rollup(enterprisebench): tick 2026-07-06 ~19:00Z — broken mol-focus-review formula stalls greenlit 2b0k+apfp; mi5v 23-latch wedge unanswered; consolidated Tier-1 to mayor
EnterpriseBench-tgef       open         —                                               input convoy for EnterpriseBench-apfp
EnterpriseBench-u2ti       open         —                                               Rollup(enterprisebench): tick 2026-07-06 06:40Z — rig healthy, convoy draining (23 closes since 05:30Z), no decision pending
EnterpriseBench-ulr0       open         —                                               Rollup(enterprisebench): claim-reset+reap now ORPHANING wave-1 tasks (recovered); MCP finding sharpens — mcp_only never beats baseline, hybrid sometimes does
EnterpriseBench-uu8f       open         —                                               mol-focus-review
EnterpriseBench-v8e        open         —                                               Rollup(enterprisebench): last execution leg (.25 re-verify) dispatched — both critical-path legs now parallel; only .28 aggregate remains before ready-to-lock
EnterpriseBench-vbj0       open         —                                               Rollup(enterprisebench): tick 2026-07-06 12:00Z — rig healthy-idle; 6xm7 wedged-pool flag closed (residue is cosmetic, all parents closed)
EnterpriseBench-vmx        open         —                                               Rollup(enterprisebench): wave-4 (FINAL, last 15 tasks / 22 mirrors) dispatched — mirror batch one wave from 88/88; both paper-lock decisions still pending
EnterpriseBench-w3c        open         —                                               Rollup(enterprisebench): both paper-lock decisions now mirrored to Stephanie (1gvr joins tev); wave-4 FINAL re-nudged after routed-unclaimed stall
EnterpriseBench-w7gv       open         —                                               Rollup(enterprisebench): u3jb judge-test coverage published to main @112b35d — Tier-2 scorer defensibility gap closed; zafm+cdzi still UNIT-B-gated
EnterpriseBench-wdz7       open         —                                               Rollup(enterprisebench): DEEP_AUDIT 2026-06-29 — headline validated SAFE vs flagged scoring bugs; 4 hygiene/soundness beads dispatched; weight-discard paper-framing item for Stephanie
EnterpriseBench-wte0       open         —                                               Rollup(enterprisebench): aq8e symmetric baseline re-score COMPLETE — headline no-MCP-win HOLDS; all P1 branch-ready, rig paused for mayor publish
EnterpriseBench-wxrz       open         —                                               Rollup(enterprisebench): 5 verification/curation beads dispatched; pipeline-soundness work in flight, no decisions
EnterpriseBench-x1h        open         —                                               Rollup(enterprisebench): spine idle awaiting suite-lock answer; 91-pin batch resized-before-fanout (sweep over-count found) + systemic python3-verifier sweep dispatched; tev delivery flagged to mayor
EnterpriseBench-xl69       open         —                                               Rollup(enterprisebench): zafm verifier-soundness review gate was janitor-reaped pre-publish — restored mol-focus-review, parity with u3jb
EnterpriseBench-xo48       open         —                                               Rollup(enterprisebench): k4tv headline CLOSED — Stephanie accepted re-score as path-A close + authorized symmetric baseline re-score (aq8e dispatched); EB pausing after publish-handoff
EnterpriseBench-z6sj       open         —                                               Rollup(enterprisebench): bvjx docker-cp re-score moved delivered->execution (Stephanie approved 6 re-runs + spend)
EnterpriseBench-zn7l       open         —                                               Rollup(enterprisebench): p6ux docker UNBLOCKED — smoke 3/3 PASS, MCP signal good; wave-1 gated on mayor (control-plane reconciliation)
EnterpriseBench-zotf       open         —                                               Rollup(enterprisebench): test-isolation bug (cqew) caught + dispatched; 2 wedged convoy workers routed to mayor
GEO-0m0                    open         —                                               Rollup(geo): methodology gap closed — 3 P1 beads filed to make baseline_v1 actionable
GEO-0pd                    open         —                                               Phase 1: Foundation — Baseline Measurement & Methodology
GEO-0pd.1                  open         —                                               Competitive Share of Voice Dashboard
GEO-0pd.14                 open         —                                               Run first real baseline with API keys
GEO-0pd.2                  open         —                                               Hallucination Fingerprinting
GEO-0pd.3                  open         —                                               Temperature and Sampling Parameter Sensitivity
GEO-0pd.4                  open         —                                               Prompt Phrasing Sensitivity Analysis
GEO-0pd.5                  open         —                                               Cross-Model Consensus Mapping
GEO-0pd.6                  open         —                                               Model Knowledge Cutoff Archaeology
GEO-2yn                    open         —                                               Intervention A: symptom-first pain pages (Pattern A) — content + measurement
GEO-55d                    open         —                                               Rollup(geo): rig snapshot — baseline_v1 Claude lane landed (38% provisional), Phase-2 decision still on you
GEO-rl0                    open         —                                               Phase 3: Advanced — Longitudinal, Channel & Exploratory
GEO-rl0.10                 open         —                                               Language and Locale Variation
GEO-rl0.13                 open         —                                               System Prompt Leakage Detection
GEO-rl0.2                  open         —                                               Code Generation Attribution Tracing
GEO-rl0.5                  open         —                                               Multi-Turn Conversation Drift
GEO-rl0.6                  open         —                                               Cody Brand Contamination Study
GEO-rl0.7                  open         —                                               Reddit Thread Amplification
GEO-rl0.8                  open         —                                               HackerNews Sentiment Correlation
GEO-rl0.9                  open         —                                               Developer Persona Segmentation
GEO-u3q                    open         —                                               Phase 2: Intervention Experiments — Content & Agent Optimization
GEO-u3q.10                 open         —                                               Wikipedia Article Existence and Quality
GEO-u3q.11                 open         —                                               Open Source Example Repository Influence
GEO-u3q.3                  open         —                                               Coding Agent Config File Discovery
GEO-u3q.9                  open         —                                               Negative Prompt Resilience Testing
GEO-x2k                    open         —                                               Rollup(geo): Intervention A's web-search 'before' snapshot is blocked — and the marketing publish window may close it for good
agent-diagnostics-x0i      open         —                                               Rollup(agent-diagnostics): rig healthy; slash-command epic y84 fully landed and closed
aoa-d6t                    open         —                                               Wave 0.5 — Live trace integration ON codeprobe (precondition for a real R0 verdict)
aoa-d6t.19                 open         —                                               Reporting/UX: no end-to-end operator report joining audit + gap + falsify verdict + migrate plan into one readiness view (and no 'lint thyself' R14)
aoa-d6t.22                 open         —                                               write_safety_zone probe: add the policy-file-only test quadrant
aoa-d6t.23                 open         —                                               Greenfield/cold-start: InsufficientData metric state + observe->live-corpus bridge
aoa-d6t.27                 open         —                                               Join CheckboxBaseline feature column into the external-outcome corpus (aoa-d6t.25 follow-up)
aoa-d6t.28                 open         —                                               CLI surface for the Factory checkbox-baseline scorer (aoa-d6t.25 follow-up)
aoa-d6t.29                 open         —                                               Pin official Factory readiness criteria, replacing the provisional table (aoa-d6t.25 follow-up)
aoa-d6t.30                 open         —                                               Per-subtree mutation surface + cross-subtree mutation leakage: node-to-file-path attribution in the symbol graph
aoa-d6t.31                 open         —                                               Scope aoa-audit punch-list findings to subtrees (optional PunchItem.subtree field)
aoa-d6t.32                 open         —                                               eval run: explicit subtree-scoping flag for --scip-index runs (--subtree-root)
aoa-d6t.33                 open         —                                               Replace unmaintained serde_yaml in aoa-metrics with a maintained fork
aoa-d6t.34                 open         —                                               aoa-audit: CI-file probes follow symlinks inconsistently (is_file vs file_type)
aoa-dhk.1                  open         sjarmak                                         R0 falsification SCALE: live run on >=5 calibrated repos (AC3 of aoa-dhk)
aoa-hal                    open         —                                               Wave 1N — Enforcement/Nudging layer (operator-policy, NOT gated on R0/metrics)
aoa-hal.5                  open         —                                               R11: aoa init — ejectable agent-ready scaffold + skill/context-file templates
aoa-hal.6                  open         —                                               R16+R17: human+agent collaboration layer (ownership inference -> CODEOWNERS; dual-register output)
aoa-onr                    open         —                                               Rollup(aoa): construct-validity gate (aoa-x0a) looks decided -- needs your read
aoa-x0a                    open         —                                               R9c: construct-validity correlation report (gate before any metric gates a feature)
aoa-x0a.2                  open         —                                               Harden offline revert-miner before live wiring: typed error, O(1) dedup, &Path input
aoa-x0a.3                  open         —                                               build_report_from_corpus: don't discard the whole report on one metric's hard error
aoa-x0a.4                  open         —                                               Live external-outcome miner: run the offline revert-miner against real clones to populate a REAL corpus
br-0ct                     open         —                                               Rollup(brains): rig onboarded and idle — bead store empty, no active work
co-0gi                     open         —                                               Rollup(codescalebench): rig fully decision-gated — mayor routed co-5fr back, held as Stephanie-scope
co-0i3                     open         —                                               Rollup(codescalebench): reproducibility pin epic CLOSED — all 23 children landed
co-0k5                     open         —                                               Rollup(codescalebench): gated co-5fr workflow re-picked by a fresh seat — mayor's co-41x dependency gate held, no scoring change made
co-261                     open         —                                               Decision: canonical task count and taxonomy size
co-2y1                     open         —                                               Rollup(codescalebench): pin line recovered — 5 families + build.sh landed, next batch dispatched
co-41x                     open         —                                               Rollup(codescalebench): verifier reconciliation (co-5fr) is a scoring-methodology call, not a dedup — needs your direction
co-56g                     open         —                                               Rollup(codescalebench): pin assembly line stalled mid-curl ~68min — restarted, pool re-woken
co-5fr                     open         —                                               Reconcile diverged task-local verifier copies (oracle_checks.py x3 variants, answer_json_verifier_lib.sh x2, promoted_verifier.py x1) with canonical sources
co-5j4                     open         —                                               Rollup(codescalebench): pool's first day — both p1 trust items branch-ready, epic decompose underway
co-5kv                     open         —                                               Rollup(codescalebench): pin epic done, idle pool refed with 4 QA-hardening tasks
co-5mj                     open         —                                               Class-2 GT/env completeness gaps: answer repos absent from BOTH arms
co-60b                     open         —                                               Quarantine ccx-onboard-search-211/212 (empty ground truth)
co-6c8                     open         —                                               Rollup(codescalebench): quiet 24h — rig still fully decision-gated, PII decision now ~9d aged
co-6d4                     open         —                                               Rollup(codescalebench): quiet baseline holds — rig still fully decision-gated, PII p0 now ~10.6d aged
co-72q                     open         —                                               Reconcile public docs to parity-canonical baseline (paper vs technical report)
co-87w                     open         —                                               Rollup(codescalebench): quiet ~33h — rig still fully decision-gated, PII p0 now ~12d aged
co-8v7                     open         —                                               Daytona cost guard imports renamed package daytona_sdk (now 'daytona')
co-8ze                     open         —                                               Rollup(codescalebench): baseline held another ~24h — rig still fully decision-gated, PII decision now ~7d aged
co-bbs                     open         —                                               Rollup(codescalebench): PII still in public-branch git history — pick recut strategy before next release
co-bzu                     open         —                                               Rollup(codescalebench): 3 QA tasks landed clean, co-n60 dispatched to freed seat
co-fjg                     open         —                                               Rollup(codescalebench): baseline held ~32h — rig fully decision-gated, 2 standing decisions aging, zero autonomous change
co-h8r                     open         —                                               Root cause: org-task generator emits empty baseline on fixture string mismatch
co-hws                     open         —                                               Rollup(codescalebench): co-5fr re-pick resolved clean — workflow closed, no scoring change, rig back to fully decision-gated baseline
co-kv9                     open         —                                               Doc reconciliation + consistency enforcement for canonical facts
co-p8b                     open         —                                               Git-history PII remediation for public branch
co-r7o                     open         —                                               Rollup(codescalebench): reproducibility epic fanned out — 19 pin tasks queued, cap raise requested
co-smu                     open         —                                               Rollup(codescalebench): cap-raise resolved — mayor granted pool min=2/max=3
co-trp                     open         —                                               Rollup(codescalebench): quiet 24h — rig still fully decision-gated, PII decision now ~8d aged
co-wuv                     open         —                                               Rollup(codescalebench): all 19 base-image families pinned — final 3 hardening tasks dispatched
co-xwr                     open         —                                               Rollup(codescalebench): pin epic 16/19 families done — queued final 4 for overnight depth
co-yfe                     open         —                                               Rollup(codescalebench): pin restart didn't take — line alive but zero pin commits in 85min
code-intel-digest-0hw      open         —                                               ops(render/oom): verify n0m heap+full_text fix post-deploy (>=1wk metrics) + decide Standard plan-bump
code-intel-digest-1zf      open         —                                               Rollup(code-intelligence-digest): P1 Inoreader token-rotation bug filed by sjarmak; in flight
code-intel-digest-6cj      open         —                                               P3.1 Define + emit MCP-derived website artifacts; drop website direct-DB hybrid search
code-intel-digest-b2d      open         —                                               Rollup(code-intelligence-digest): RENDER_API_KEY escalation (1j7) closed — m8p resolved, CLI auth works; rig quiet
code-intel-digest-cer      open         —                                               Rollup(code-intelligence-digest): healthy week on editorial axis; RENDER_API_KEY escalation aging 9 days
code-intel-digest-dv0      open         —                                               Retrieval maturity: embeddings load-bearing + RRF + re-rankers + knowledge-graph
code-intel-digest-dv0.1    in_progress  —                                               Phase 0 — Retrieval foundation: eval harness + coverage audit + provenance gate + item_entities
code-intel-digest-dv0.2    open         —                                               Phase 1 — Recommendations: more-like-this + related-papers (own precision@5 gate)
code-intel-digest-dv0.3    open         —                                               Phase 2 — RRF fusion + embeddings-as-channel + boost migration
code-intel-digest-dv0.4    open         —                                               Phase 3 — Full multi-channel RRF + routed re-rankers + graph-proximity
code-intel-digest-dv0.5    open         —                                               Migrate embeddings off OpenAI to a local open-weight encoder (blue-green)
code-intel-digest-dv0.5.6  open         —                                               Re-embed paper_sections to nomic 768d (keep related-papers cross-corpus in-space)
code-intel-digest-dv0.5.7  open         —                                               halfvec(768) storage optimization for item_model_embeddings (needs pgvector>=0.7)
code-intel-digest-dv0.5.9  open         —                                               model_name-scoped HNSW index for item_model_embeddings when a 2nd model lands
code-intel-digest-dv0.6    open         —                                               Default podcast TTS to a local provider (off paid OpenAI/ElevenLabs)
code-intel-digest-i4t      open         —                                               Invert to local-primary DB; decommission Render; website via MCP artifacts
code-intel-digest-i4t.4    open         —                                               Tombstone permanently-unembeddable items so nomic coverage can reach 100%
code-intel-digest-iiea     open         code-intel-digest-worker-gc-376005              mol-focus-review
code-intel-digest-lyf      open         —                                               Rollup(code-intelligence-digest): editorial axis quiet; bookkeeping drift on mp5/49p
code-intel-digest-ngy      open         —                                               Rollup(code-intelligence-digest): editorial axis calm; sgo degradation-flag work in flight, RENDER_API_KEY escalation now 29 days old
code-intel-digest-r3y      open         —                                               input convoy for code-intel-digest-0hw
code-intel-digest-u2i      open         —                                               Rollup(code-intelligence-digest): two ops beads idle 4 days, below editorial wake threshold
code-intel-digest-u3n      open         —                                               P4.1 Verify parity, then decommission Render Postgres + web service
code-intel-digest-uvv      open         —                                               Rollup(code-intelligence-digest): OOM fix verified live on prod — 448 heap confirmed, early metrics clean, 0hw deferred to 2026-06-23 recheck
code-intel-digest-zjn      open         —                                               Rollup(code-intelligence-digest): prod-freeze deploy decision resolved — Stephanie approved, 9 commits pushed, 0hw verify dispatched
codeprobe-0u8              open         —                                               Rollup(codeprobe): rig idle 5 days awaiting both pending decisions; 44i escalate never delivered — mayor asked to re-trigger
codeprobe-1mt              open         —                                               Rollup(codeprobe): forensics fix 8up shipped clean; cap90 still cap-hitting on hardest task → uncapped likely the real ceiling; pipeline self-advancing
codeprobe-1q0              open         —                                               Rollup(codeprobe): 44i delivery gap closed — both decisions now on your desk; rig idle, nothing routable until you call them
codeprobe-2lt              open         —                                               Rollup(codeprobe): cap-retune pipeline executing — all 3 trial arms claimed, cap75 in flight; confirm run auto-fires next
codeprobe-2u9              open         —                                               Rollup(codeprobe): 9tk run done → released parked methodology-hardening (9p6 obs manifest + 1gg tool-surface validator) to worker; escalates kfi+n5i unchanged
codeprobe-3th              open         —                                               Rollup(codeprobe): cap90 in flight, uncapped staged — retune spend tracking ~3-4x the stale USD60 estimate; pipeline self-advancing, nothing human-gated
codeprobe-3vq              open         —                                               Rollup(codeprobe): 3cs explorer branch-ready (your Slack ask delivered); s6o closed but fix unmerged — fold into mayor merge batch
codeprobe-4i1              open         —                                               Rollup(codeprobe): 9tk 64k re-run resolved with-sg-full ceiling crash — full now measurable (0.738), 3 transient residuals self-healing
codeprobe-4so              open         —                                               Rollup(codeprobe): cap-retune stall broken — workers 1+2 frozen on OAuth limit dialogs, unstuck with no spend; cap75 relaunching
codeprobe-505b             open         —                                               Rollup(codeprobe): decision-6 batch merged + 9p6 closed (drift fixed); 00e sole branch-ready; rig idle, gated only on n5i + kfi
codeprobe-59t              open         —                                               Rollup(codeprobe): 8l7 resolved — Stephanie approved uncapped SDLC + guard raise; 4cl6 closed, gg9f + 9tk dispatched
codeprobe-5v3n             open         —                                               calibrate_cmd docstring says exit 1 on rejection; actual contract is DiagnosticError exit 2
codeprobe-77z              open         —                                               [scoring/validity] Infra-failure triage gate — classify, exclude from reward, fail run validity until re-run
codeprobe-7xnv             open         —                                               Rollup(codeprobe): both greenlit P1 cold-adoption correctness fixes dispatched + worker-claimed (h3j4 errored-run exclusion, 8yjf model validation); halt branch-ready, merge stays operator-gated
